,Quantile,Cumulative gains,Base,Model
0,1.0,0.17763157894736842,1.0,randomforest
1,0.95,0.19078947368421054,0.95,randomforest
2,0.9,0.4407894736842105,0.9,randomforest
3,0.75,0.5592105263157895,0.75,randomforest
4,0.65,0.5986842105263158,0.65,randomforest
5,0.6,0.631578947368421,0.6,randomforest
6,0.55,0.9210526315789473,0.55,randomforest
7,0.35,0.9276315789473685,0.35,randomforest
8,0.3,0.9342105263157895,0.3,randomforest
9,0.25,0.9671052631578947,0.25,randomforest
10,0.1,0.9868421052631579,0.1,randomforest
11,0.05,1.0,0.05,randomforest
