,Quantile,Cumulative response,Average response,Model
0,1.0,0.011115685467270481,0.005927312431757916,randomforest
1,0.95,0.010469314079422382,0.005927312431757916,randomforest
2,0.9,0.009962825278810409,0.005927312431757916,randomforest
3,0.75,0.00902239677316633,0.005927312431757916,randomforest
4,0.65,0.00865265760197775,0.005927312431757916,randomforest
5,0.6,0.008196021514556475,0.005927312431757916,randomforest
6,0.55,0.0080594093604283,0.005927312431757916,randomforest
7,0.35,0.007783604747446867,0.005927312431757916,randomforest
8,0.3,0.007302648495757264,0.005927312431757916,randomforest
9,0.25,0.006289308176100629,0.005927312431757916,randomforest
10,0.1,0.0061498093559099664,0.005927312431757916,randomforest
11,0.05,0.005927312431757916,0.005927312431757916,randomforest
